model_name,type,source_lang,status
xlm-roberta-base,standard,de,
deepset/gbert-base,standard,de,
xlm-roberta-base,hierarchical,de,
deepset/gbert-base,hierarchical,de,
xlm-roberta-base,long,de,
deepset/gbert-base,long,de,
xlm-roberta-base,standard,fr,
camembert/camembert-base-ccnet,standard,fr,
xlm-roberta-base,hierarchical,fr,
camembert/camembert-base-ccnet,hierarchical,fr,
xlm-roberta-base,long,fr,
camembert/camembert-base-ccnet,long,fr,
xlm-roberta-base,standard,it,
Musixmatch/umberto-commoncrawl-cased-v1,standard,it,
xlm-roberta-base,hierarchical,it,
Musixmatch/umberto-commoncrawl-cased-v1,hierarchical,it,
xlm-roberta-base,long,it,
Musixmatch/umberto-commoncrawl-cased-v1,long,it,
xlm-roberta-base,standard,all,
bert-base-multilingual-cased,standard,all,
xlm-roberta-base,hierarchical,all,
bert-base-multilingual-cased,hierarchical,all,
xlm-roberta-base,long,all,
bert-base-multilingual-cased,long,all,
